iter	Passed	Remaining
920	2070	177
921	2072	175
922	2074	173
923	2076	170
924	2078	168
925	2081	166
926	2083	164
927	2085	161
928	2087	159
929	2089	157
930	2091	155
931	2094	152
932	2097	150
933	2100	148
934	2102	146
935	2103	143
936	2105	141
937	2108	139
938	2111	137
939	2113	134
940	2115	132
941	2118	130
942	2119	128
943	2121	125
944	2126	123
945	2128	121
946	2131	119
947	2133	117
948	2135	114
949	2137	112
950	2140	110
951	2142	108
952	2143	105
953	2145	103
954	2147	101
955	2149	98
956	2150	96
957	2156	94
958	2158	92
959	2161	90
960	2162	87
961	2164	85
962	2169	83
963	2171	81
964	2174	78
965	2175	76
966	2177	74
967	2180	72
968	2182	69
969	2186	67
970	2188	65
971	2190	63
972	2193	60
973	2195	58
974	2198	56
975	2200	54
976	2202	51
977	2204	49
978	2206	47
979	2207	45
980	2209	42
981	2211	40
982	2216	38
983	2218	36
984	2220	33
985	2233	31
986	2234	29
987	2236	27
988	2238	24
989	2242	22
990	2244	20
991	2246	18
992	2248	15
993	2250	13
994	2251	11
995	2253	9
996	2255	6
997	2257	4
998	2259	2
999	2263	0
